1f004,mahjong-red-dragon,mahjong
1f3ac,clapper-board,clapper
1f3ad,performing-arts
1f3ae,video-game
1f3af,direct-hit,dart
1f3b0,slot-machine
1f3b1,billiards,8ball
1f3b2,game-die
1f3b3,bowling
1f3b4,flower-playing-cards
1f3b5,musical-note
1f3b6,musical-notes,notes
1f3b7,saxophone
1f3b8,guitar
1f3b9,musical-keyboard
1f3ba,trumpet
1f3bb,violin
1f3bc,musical-score
1f3bd,running-shirt,running-shirt-with-sash
1f3be,tennis
1f3bf,skis,ski
1f3c0,basketball
1f3c1,chequered-flag,checkered-flag
1f3c2-1f3fb,snowboarder-type-1-2
1f3c2-1f3fc,snowboarder-type-3
1f3c2-1f3fd,snowboarder-type-4
1f3c2-1f3fe,snowboarder-type-5
1f3c2-1f3ff,snowboarder-type-6
1f3c2,snowboarder
1f3c3-1f3fb,runner-type-1-2
1f3c3-1f3fc,runner-type-3
1f3c3-1f3fd,runner-type-4
1f3c3-1f3fe,runner-type-5
1f3c3-1f3ff,runner-type-6
1f3c3,runner
1f3c4-1f3fb,surfer-type-1-2
1f3c4-1f3fc,surfer-type-3
1f3c4-1f3fd,surfer-type-4
1f3c4-1f3fe,surfer-type-5
1f3c4-1f3ff,surfer-type-6
1f3c4,surfer
1f3c5,sports-medal
1f3c6,trophy
1f3c7-1f3fb,horse-racing-type-1-2
1f3c7-1f3fc,horse-racing-type-3
1f3c7-1f3fd,horse-racing-type-4
1f3c7-1f3fe,horse-racing-type-5
1f3c7-1f3ff,horse-racing-type-6
1f3c7,horse-racing
1f3c8,american-football,football
1f3c9,rugby-football
1f3ca-1f3fb,swimmer-type-1-2
1f3ca-1f3fc,swimmer-type-3
1f3ca-1f3fd,swimmer-type-4
1f3ca-1f3fe,swimmer-type-5
1f3ca-1f3ff,swimmer-type-6
1f3ca,swimmer
1f3cb-1f3fb,weight-lifter-type-1-2
1f3cb-1f3fc,weight-lifter-type-3
1f3cb-1f3fd,weight-lifter-type-4
1f3cb-1f3fe,weight-lifter-type-5
1f3cb-1f3ff,weight-lifter-type-6
1f3cb,weight-lifter
1f3cc,golfer
1f3cd,motorcycle
1f3ce,racing-car
1f3cf,cricket
1f3d0,volleyball
1f3d1,field-hockey
1f3d2,ice-hockey-stick-and-puck
1f3d3,ping-pong
1f3d4,snow-capped-mountain
1f3d5,camping
1f3d6,beach-with-umbrella
1f3d7,building-construction
1f3d8,house-buildings
1f3d9,cityscape
1f3da,derelict-house-building
1f3db,classical-building
1f3dc,desert
1f3dd,desert-island
1f3de,national-park
1f3df,stadium
1f3e0,house-building,house
1f3e1,house-with-garden
1f3e2,office-building,office
1f3e3,japanese-post-office
1f3e4,post-office,european-post-office
1f3e5,hospital
1f3e6,bank
1f3e7,atm-sign,atm
1f3e8,hotel
1f3e9,love-hotel
1f3ea,convenience-store
1f3eb,school
1f3ec,department-store
1f3ed,factory
1f3ee,red-paper-lantern
1f3ef,japanese-castle
1f3f0,castle,european-castle
1f3f3-fe0f-200d-1f308,rainbow-flag,pride
1f3f3,waving-white-flag
1f3f4-200d-2620-fe0f,pirate-flag,jolly-roger
1f3f4,waving-black-flag
1f3f5,rosette
1f3f7,label
1f3f8,badminton
1f3f9,bow-and-arrow
1f3fa,amphora
1f3fb,skin-type-1-2
1f3fc,skin-type-3
1f3fd,skin-type-4
1f3fe,skin-type-5
1f3ff,skin-type-6
1f400,rat
1f401,mouse,mouse2
1f402,ox
1f403,water-buffalo
1f404,cow,cow2
1f405,tiger,tiger2
1f406,leopard
1f407,rabbit,rabbit2
1f408,cat,cat2
1f409,dragon
1f40a,crocodile
1f40b,whale,whale2
1f40c,snail
1f40d,snake
1f40e,horse,racehorse
1f40f,ram
1f410,goat
